Unnamed: 0,Simulation,Category,Object,Parameter,Data File
760,REAL_TIME,Generator,188,PMin MW,REAL_TIME_solar.csv
761,REAL_TIME,Generator,188,PMax MW,REAL_TIME_solar.csv
782,DAY_AHEAD,Generator,210,PMin MW,DAY_AHEAD_solar.csv
783,DAY_AHEAD,Generator,210,PMax MW,DAY_AHEAD_solar.csv
784,REAL_TIME,Generator,210,PMin MW,REAL_TIME_solar.csv
785,REAL_TIME,Generator,210,PMax MW,REAL_TIME_solar.csv
790,DAY_AHEAD,Generator,217,PMin MW,DAY_AHEAD_solar.csv
791,DAY_AHEAD,Generator,217,PMax MW,DAY_AHEAD_solar.csv
792,REAL_TIME,Generator,217,PMin MW,REAL_TIME_solar.csv
793,REAL_TIME,Generator,217,PMax MW,REAL_TIME_solar.csv
794,DAY_AHEAD,Generator,218,PMin MW,DAY_AHEAD_solar.csv
795,DAY_AHEAD,Generator,218,PMax MW,DAY_AHEAD_solar.csv
796,REAL_TIME,Generator,218,PMin MW,REAL_TIME_solar.csv
797,REAL_TIME,Generator,218,PMax MW,REAL_TIME_solar.csv
798,DAY_AHEAD,Generator,219,PMin MW,DAY_AHEAD_solar.csv
799,DAY_AHEAD,Generator,219,PMax MW,DAY_AHEAD_solar.csv
800,REAL_TIME,Generator,219,PMin MW,REAL_TIME_solar.csv
801,REAL_TIME,Generator,219,PMax MW,REAL_TIME_solar.csv
806,DAY_AHEAD,Generator,225,PMin MW,DAY_AHEAD_solar.csv
807,DAY_AHEAD,Generator,225,PMax MW,DAY_AHEAD_solar.csv
808,REAL_TIME,Generator,225,PMin MW,REAL_TIME_solar.csv
809,REAL_TIME,Generator,225,PMax MW,REAL_TIME_solar.csv
838,DAY_AHEAD,Generator,265,PMin MW,DAY_AHEAD_solar.csv
839,DAY_AHEAD,Generator,265,PMax MW,DAY_AHEAD_solar.csv
840,REAL_TIME,Generator,265,PMin MW,REAL_TIME_solar.csv
841,REAL_TIME,Generator,265,PMax MW,REAL_TIME_solar.csv
850,DAY_AHEAD,Generator,277,PMin MW,DAY_AHEAD_solar.csv
851,DAY_AHEAD,Generator,277,PMax MW,DAY_AHEAD_solar.csv
852,REAL_TIME,Generator,277,PMin MW,REAL_TIME_solar.csv
853,REAL_TIME,Generator,277,PMax MW,REAL_TIME_solar.csv
854,DAY_AHEAD,Generator,278,PMin MW,DAY_AHEAD_solar.csv
